Biochemical oxygen demand (mg/l),Dissolved Oxygen mg/L,Temperature,pH,COD (chemical Oxygen Demand),Conductivity (uS/cm),Colour (TCU),Floride,Nitrate (mg/l),Potassium (mg/l),Total Organic Carban (mg/l),Chloride (mg/l),Total Suspended Solids,Turbidity (NTU),Potability
2.24,6.7,23.4,8.06,1.658631019,819,8.34,0.715591741,22.23,17.5,10.37978308,129.3,10.78,3.39,potable
4.05,5.7,15.1,8.28,2.668623053,1371.1,14.45,0.67847775,16.06,45.28,15.18001312,163.73,10.72,3.36,potable
0.86,6.3,22.6,6.86,1.033741789,202.75,3.87,0.618002167,19.81,4.9,16.86863693,66.68,12.46,4.23,potable
2.6,5.8,23.6,7,0.639128026,696.16,14.57,0.677948128,42.82,36.73,18.4365245,102.42,7.5,1.75,potable
0.04,5.8,23.3,6.73,2.27173492,129.24,9.01,0.646885144,14.35,44.79,11.55827944,140.47,8.4,2.2,potable
1.22,5.5,23.7,7.04,0.316543056,12.63,1.84,0.640151945,15.89,46.42,8.39973464,44.71,11.16,3.58,potable
3.13,6.1,22.3,6.92,0.614154154,1266.78,1.36,0.633501132,2.29,27.01,13.78969532,206.45,5.56,0.78,potable
3.4,6.4,26.9,7.46,0.300875454,596.34,2.67,0.640059745,0.12,39.22,12.3638167,96.54,6.06,1.03,potable
2.27,6.4,22.8,7.29,0.884116828,663.65,3.4,0.722808133,41.31,11.08,12.70604897,179.05,6.92,1.46,potable
2.13,6.3,26.9,8.41,1.32071763,350.84,5.63,0.772884841,32.08,49.89,17.92780641,225.84,12.14,4.07,potable
1.23,7.1,22.9,7.75,1.131607582,245.74,1.49,0.630794155,3.23,0.39,15.58681044,28.8,5.42,0.71,potable
0.54,6.7,23.3,7.03,0.978457386,787.46,13.66,0.74631511,31.1,8.72,14.5257457,221.56,9.28,2.64,potable
4.41,7.4,26.8,6.95,2.108643932,1467.48,4.56,0.61806283,6.17,10.41,15.92953591,195.69,7.04,1.52,potable
2.11,6.9,23,6.82,1.26706299,680.16,11.88,0.761742812,20.7,48.11,19.37080718,220.46,5.36,0.68,potable
0.03,6,25.8,7.81,1.620950067,905.15,11.35,0.633244181,33.31,27.41,13.2283111,62.06,5.16,0.58,potable
2.95,7.3,25.9,8.14,0.901725956,1232.8,8.06,0.600296155,12.2,15.21,11.53978119,10.37,5,0.5,potable
3.82,7.3,25,8.45,1.056033166,393.53,12.07,0.660031087,1.89,39.05,20.39702184,56.47,10.4,3.2,potable
4.9,7,22.7,8.09,0.089530845,1297.74,11.98,0.604117582,27.5,15.89,13.38734078,39.63,9.64,2.82,potable
0.22,7.3,22.9,8.39,1.882377264,624.89,0.83,0.626719454,2.02,45.22,12.88875905,199.11,11.84,3.92,potable
2.84,5.3,20.8,6.72,1.497957995,1255.97,10.54,0.60960146,33.12,45.86,12.50916394,76.66,10.48,3.24,potable
2.29,6.3,21,7.65,0.336754281,602.69,6.31,0.75440737,1.55,45.71,16.33169328,225.67,4.76,0.38,potable
0.3,5.4,20.3,7.3,0.478473634,781.98,14.51,0.606403854,30.8,11.31,17.88423519,36.48,13.82,4.91,potable
1.6,2.2,23,6.6,0.530806519,297.51,2.03,0.643907105,35.79,23.98,14.18906221,201.76,6.4,1.2,potable
2.62,5.2,21.6,7,0.176961059,1417.61,10.37,0.620453512,27.47,27.08,16.60903316,67,12.32,4.16,potable
1.25,5.6,23.2,6.5,1.052402775,1328.33,9.36,0.600723807,11.86,49.2,11.25638117,53.86,13.98,4.99,potable
2.08,5.5,24.5,7.32,2.500884829,838.68,13.09,0.66645814,21.42,48.23,14.89999957,220.96,7.42,1.71,potable
4.17,7.3,24.5,6.75,1.975643941,1216.04,5.85,0.67838771,31.16,22.58,13.80590221,192.09,12.24,4.12,potable
2.69,6.5,22.6,7.4,2.406820415,1341.05,4.84,0.686075929,3.49,22.93,12.72952472,151.68,5.3,0.65,potable
2.6,7.2,19,7.79,1.222992723,1325.16,4.61,0.635138563,30.5,44.13,10.34895076,193.14,11.06,3.53,potable
1.71,6.6,23,7.32,2.241611851,886.41,11.12,0.601695634,44.44,15.1,16.56865557,81.01,7.7,1.85,potable
4.26,6.9,23.2,6.81,2.689226062,494,5.51,0.715503935,31.26,7.08,7.922598333,209.34,10.8,3.4,potable
3.46,6.8,22.3,6.73,1.426015564,894.82,0.29,0.666280571,23.75,20.43,16.8990378,240,6.48,1.24,potable
4.8,6.7,23,7.98,0.021156733,698.03,12.81,0.717335206,37.7,24.51,12.89070856,124.36,6.6,1.3,potable
1.32,5.1,23.2,7.02,2.23508884,331.84,9.81,0.748562301,42.98,3.99,10.24481507,188.06,4.12,0.06,potable
0.74,5.6,23.1,6.5,0.323236366,691.52,0.63,0.603659606,28.42,33.54,12.16693715,40.48,8.74,2.37,potable
0.87,6.4,23.8,6.94,0.113887644,505.85,0.18,0.604174006,34.54,1.51,10.96648615,28.41,11.84,3.92,potable
3.59,5.5,22.4,6.75,1.353961672,763.19,1.34,0.634412566,13.76,26.84,9.034066753,115.16,13.42,4.71,potable
0.75,5.3,23.3,8.4,1.209349287,1434.67,2.45,0.604007988,35.11,28.22,12.26500158,49.05,11.72,3.86,potable
1.32,6.7,25.6,7.19,2.398151905,434.04,14.98,0.671290516,11.17,28.58,22.46989199,87.22,9.82,2.91,potable
3.61,3.6,23.3,7.12,1.657395502,973.68,9.79,0.630963252,31.15,27.54,16.47196935,213.19,11.7,3.85,potable
2.63,7.2,24.1,6.84,0.695713291,374.82,12.42,0.643342576,0.41,46.83,18.33889255,132.19,12.94,4.47,potable
4.24,5.9,22.1,7.48,2.824279867,312.75,11.58,0.669415448,16.15,48.21,10.1805138,201.02,6.42,1.21,potable
4.87,5.4,18.5,7.35,1.574111848,12.04,0.74,0.600163651,44.27,30.09,11.0931634,3.59,9.98,2.99,potable
4.83,5.8,23,8.16,2.3290162,322.32,3.91,0.60115596,27.92,20.32,23.91760126,26.44,4.66,0.33,potable
2.29,5.9,18,7.44,2.595148364,160.54,11.72,0.611392532,32.76,30.98,18.66822946,72.68,12.7,4.35,potable
3.07,6,22.3,7.75,1.106668667,147.55,7.92,0.605926582,17.57,16,16.14079002,38.98,6.04,1.02,potable
1.39,6.1,24.8,6.62,2.901996303,1037.08,5.46,0.602151072,41.66,0.99,13.28533392,82.67,4.5,0.25,potable
2.8,5.9,23.5,7.72,2.111765354,258.73,3.48,0.623963906,20.22,47.98,10.09086975,164.98,7.1,1.55,potable
4.58,6.3,24.2,7.92,2.182822612,200.41,8.95,0.763246311,9.17,44.64,18.59940992,175.59,9.64,2.82,potable
2.99,6.7,23.7,6.66,1.44579316,115.2,1.64,0.634619673,4.5,48.06,13.76832331,164.3,8.86,2.43,potable
0.18,6.8,20.9,8.3,2.755842869,1283.58,7.54,0.651129081,13.07,8.7,16.18206649,223.37,7.52,1.76,potable
3.8,6.8,23.7,7.21,2.482819852,457.53,0.64,0.616028952,21.49,22.61,9.61134874,53.3,11.54,3.77,potable
0.59,6.9,25.2,7.06,0.245678549,1227.01,2.42,0.657194964,33.57,37.93,10.94202426,209.63,8.4,2.2,potable
0.68,6.9,18.5,8.14,1.74966588,1203.44,8.97,0.775632677,40.32,37.73,18.27531211,164.96,10.32,3.16,potable
1.59,6.8,23.3,7.75,1.353519295,17.04,13.66,0.69084637,24.33,2.97,16.48283537,162.44,12.34,4.17,potable
3.07,6.6,25.6,7.09,1.397021335,89.08,3.58,0.633854306,42.98,25.22,15.93448387,56.82,12.48,4.24,potable
2.2,6.7,23.5,7.72,0.256186903,1463.69,13.85,0.689191491,13.77,18.97,6.016336609,99.31,10.64,3.32,potable
0.98,6.7,27.8,7.56,1.320394078,1417.51,10.14,0.701578581,20,39.15,8.236557503,169.76,11.54,3.77,potable
4.73,5.9,24.5,6.6,0.902709162,16.17,1.02,0.612617112,1.77,6.74,12.82386095,190.98,11.88,3.94,potable
2.12,6.3,22.6,8.47,1.206330318,1188.43,8.19,0.640325793,34.75,8.08,16.62225518,89.42,6.32,1.16,potable
4.67,6.6,25.6,7.07,0.886095369,118.3,9.01,0.665832937,2.11,44.57,9.6541256,192.73,7.62,1.81,potable
2.28,6.8,22.3,8.12,2.97065849,45.18,8.48,0.602334272,18.31,43.26,13.75810517,206.82,7.66,1.83,potable
3.49,7.1,21,6.76,2.986728208,234.41,10.77,0.60321837,20.45,36.15,16.92709218,5.44,11.36,3.68,potable
2.09,7,27.8,8.38,1.415085368,527.98,9.55,0.613298377,27.31,4.53,12.38077079,57.98,8.52,2.26,potable
3.02,7.2,28,7.97,2.392443215,1121.99,11.35,0.631141358,8.5,5.4,11.11965925,130.61,7.52,1.76,potable
2.61,6.7,19,7.78,0.329745353,1221.39,0.75,0.642743726,30.31,25.79,14.93301266,169.63,10.18,3.09,potable
3.9,5.8,33.4,6.67,0.198553586,998.61,4.79,0.666428338,19.07,11.18,13.35318143,248.47,8.02,2.01,potable
4.4,6.6,34,6.72,1.054983397,203.74,0.38,0.751114349,2.7,10.03,11.35113273,222.11,8.04,2.02,potable
0.91,6.7,34,7.28,0.98458823,608.03,12.1,0.714734629,42.7,2.82,16.04514848,132.57,13.62,4.81,potable
0.35,6.7,34,7.08,1.280243146,544.24,6.29,0.681856031,24.24,25.36,17.28771328,237.17,9.38,2.69,potable
1.82,6.5,32,7.62,1.881196592,501.7,11.47,0.600226418,23.06,21.91,9.79962469,4.5,13.16,4.58,potable
3.21,6.3,34,7.82,1.980815706,755.42,8.95,0.699264421,34.22,4.97,9.001820488,194.41,13.14,4.57,potable
0.7,7,26,8.4,2.17138928,463.32,10.7,0.638501212,2.56,49.52,14.08360835,147.86,9.8,2.9,potable
3.42,6.6,34,6.53,0.093831664,1337.64,3.05,0.6320062,40.51,19.53,18.70440906,126.71,5.48,0.74,potable
4.18,6.9,25.5,8.49,1.985670706,550.3,13.75,0.625681253,16.66,16.66,15.77183437,127.43,4.6,0.3,potable
3.25,7,25.5,6.55,0.619958798,1032.79,8.44,0.665399932,11.91,8.66,13.93478804,161.32,9.12,2.56,potable
2.4,6.7,32,7.62,0.395584618,479.25,9.17,0.616538286,40.78,21.21,9.712231911,37.47,4.56,0.28,potable
3.02,7.2,25.5,8.08,0.103659202,152.76,4.84,0.604159712,35.55,29.29,14.56726886,10.29,10.12,3.06,potable
2.82,7.5,34.8,8.16,1.664351325,845.63,8.07,0.674453568,30.74,44.64,16.24550434,180.14,11.96,3.98,potable
4.3,3,35,7.36,1.677810571,1086.35,14.96,0.693484656,20.05,0.36,8.992754272,94.26,6.54,1.27,potable
2.01,5.9,35,7.35,2.903664386,1334.15,5.27,0.664457764,20.97,11.08,15.6118593,133.86,4.1,0.05,potable
1.37,6.7,25,8.38,2.546157942,1118.97,9.34,0.715776661,26.07,25.13,18.0990781,192.96,4.36,0.18,potable
3.1,6.1,25,6.79,2.282678852,105.11,11.41,0.684229264,34.78,6.09,11.53214401,94.15,12.96,4.48,potable
1.32,6.7,28,7.61,0.725514466,584.15,14.46,0.600860122,41.91,25.39,12.25679025,7.12,6.58,1.29,potable
2.25,6.9,29,8.36,1.723939143,1354.96,13.64,0.682030283,3.55,47.85,9.833874585,220.63,6.3,1.15,potable
1.96,2.1,25,8.08,0.457361146,1288.44,10.86,0.796938429,9.38,12.35,7.507662315,186.74,6.42,1.21,potable
1.01,2.5,31,8.17,1.76587521,696.82,5.12,0.624360587,9.36,45.96,13.86396488,84.48,4.08,0.04,potable
3.56,7.2,30,7.16,2.307790225,1308.82,9.32,0.768929248,10.91,0.88,15.96604294,161,4.18,0.09,potable
